kaupunginosa,huoneisto,talotyyppi,neliot,velaton_hinta,neliohinta,rakennusvuosi,kerros,hissi,kunto,tontti,energialuokka,apartment_type,postcode
Kruununhaka,2h + avok. + kph,kt,"52,00",350000,6731,1927,1/7,on,hyvä,oma,F2013,Kaksiot,00170
Kruununhaka,"2h, avok, kph",kt,"75,00",481000,6413,1861,1/4,ei,huono,oma,,Kaksiot,00170
Kruununhaka,"2h, avok, kph, ...",kt,"80,00",640000,8000,1850,2/5,on,hyvä,oma,E2013,Kaksiot,00170
Kruununhaka,"1-2h, avok, kph...",kt,"37,50",413000,11013,1850,2/3,on,hyvä,oma,E2013,Kaksiot,00170
Kruununhaka,"2h, avok, kph, ...",kt,"48,40",413000,8533,1911,3/5,on,hyvä,oma,F2013,Kaksiot,00170
Kruununhaka,3h+k+kph+s,kt,"95,00",535000,5632,1938,2/5,on,tyyd.,oma,E2018,Kolmiot,00170
Kruununhaka,"3h, k, kph, wc,...",kt,"96,40",720000,7469,1911,5/5,on,tyyd.,oma,F2013,Kolmiot,00170
Kruununhaka,"3h, k, kph, eri...",kt,"78,40",637500,8131,1913,2/4,on,hyvä,oma,G2013,Kolmiot,00170
Kruununhaka,"3h, avok, kph",kt,"75,00",580000,7733,1929,2/5,on,hyvä,oma,C2007,Kolmiot,00170
Kruununhaka,3h+avok+kph+s+e...,kt,"83,00",487000,5867,1911,3/5,on,hyvä,oma,D2018,Kolmiot,00170
Kruununhaka,"3h, k, kph",kt,"88,00",688000,7818,1912,3/5,ei,hyvä,oma,F2017,Kolmiot,00170
Kruununhaka,"3h, k, kph, wc",kt,"73,60",640000,8696,1928,4/6,on,hyvä,oma,F2016,Kolmiot,00170
Kruununhaka,"3h,k,kph",kt,"89,90",522000,5806,1911,3/5,on,huono,oma,F2013,Kolmiot,00170
Kruununhaka,3h+avok+kph (Yj...,kt,"95,00",485000,5105,1890,2/4,on,tyyd.,oma,E2018,Kolmiot,00170
Kruununhaka,3h+k+kph+erilli...,kt,"91,50",720000,7869,1903,2/3,on,hyvä,oma,E2013,Kolmiot,00170
Kruununhaka,3h+k+kph+parveke,kt,"77,50",495000,6387,1957,4/6,on,hyvä,oma,F2013,Kolmiot,00170
Kruununhaka,"3h, alkovi, k, kph",kt,"80,00",600000,7500,1905,6/7,on,tyyd.,oma,E,Kolmiot,00170
Kruununhaka,"4h,k",kt,"98,50",780000,7919,1928,4/6,on,tyyd.,oma,F2013,Neljä huonetta tai enemmän,00170
Kruununhaka,4h+avok+vh+kph+...,kt,"172,00",1265000,7355,1924,5/8,on,hyvä,oma,F2013,Neljä huonetta tai enemmän,00170
Kivistö,4h+2kph+2wc+khh...,rt,"112,00",425000,3795,2009,1/2,ei,hyvä,oma,E2013,Neljä huonetta tai enemmän,00170
Kruununhaka,"5h, k, halli",kt,"141,00",950000,6738,1926,3/7,on,tyyd.,oma,D2018,Neljä huonetta tai enemmän,00170
Kruununhaka,"4h+k+kph+wc+vh,...",kt,"112,00",831000,7420,1989,5/5,on,tyyd.,oma,D2018,Neljä huonetta tai enemmän,00170
